attacker_id,n_positive,n_negative,n_total,positive_ratio,negative_ratio,intensity,longevity,similarity_median,log_affect_ratio,log_affect_ratio_z,intensity_scaled,longevity_scaled,similarity_scaled,saints_naive
USA-2019-HASSON,2,124,190,0.010526315789473684,0.6526315789473685,0.003265719148153259,0.3450549012373214,0.5396596193313599,-4.127040921814197,-0.0215429878527351,0.02546281491882784,0.0034505490123732147,0.6838236632506901,-0.015354485118774007
NZL-2019-CHRISTCHURCH,84,1029,2048,0.041015625,0.50244140625,0.07106598984771574,1.9197449970546085,0.5743851065635681,-2.505503546615412,0.35634727531720317,0.554101582047852,0.01919744997054609,0.7278256768101171,0.4636522448389307
NLD-2019-UTRECHT,22,1014,1164,0.018900343642611683,0.8711340206185567,0.01025648550299331,99.99999999999999,0.5658031702041626,-3.8305639710298753,0.04754931595060678,0.07996982601153656,1.0,0.7169511719391688,0.08544236426983773
USA-2019-POWAY,75,935,1208,0.062086092715231786,0.7740066225165563,0.008245036704878313,3.7743345862896107,0.4970199465751648,-2.523043601193196,0.35225966318948315,0.06428655805689208,0.03774334586289611,0.6297932778383466,0.25779178752037646
USA-2019-STEM,76,608,1003,0.07577268195413758,0.6061814556331007,0.0008219997010910178,3.0451616130360035,0.537277102470398,-2.079429994068191,0.4556413460949932,0.006409132354216192,0.03045161613036004,0.6808046836026702,0.3269980435220779
USA-2019-VABEACH,0,136,270,0.0,0.5037037037037037,0.004271222637479978,0.4906934202184617,0.5740194320678711,-13.129745469994099,-2.1195731923898635,0.033302726462795154,0.004906934202184618,0.727362316454353,-1.6226858395470438
AUS-2019-DARWIN,14,234,475,0.029473684210526315,0.4926315789473684,0.00044273907910271547,99.99999999999977,0.5315310955047607,-2.8162318876590446,0.28393376430766387,0.0034520369686106478,0.9999999999999979,0.6735236950099451,0.4761500322332708
JPN-2019-KYOANI,50,444,795,0.06289308176100629,0.5584905660377358,0.0002742230347349177,28.299903003605348,0.502241313457489,-2.1837874476694203,0.43132142217077357,0.0021381172302838893,0.28299903003605353,0.6364094746052469,0.39748279954232385
USA-2019-ELPASO,39,671,1054,0.03700189753320683,0.6366223908918406,0.011462214935161722,0.687533809267855,0.5880671739578247,-2.845182036354828,0.2771870932307069,0.08937089939864917,0.006875338092678551,0.7451627557970082,0.2332277130677692
USA-2019-DAYTON,20,641,1013,0.019743336623889437,0.6327739387956565,0.006990752275292014,1.1355621637861717,0.5357729196548462,-3.467248114991312,0.1322180547364724,0.054506901314460954,0.01135562163786172,0.6788986751368083,0.0984708768545495
USA-2019-CLIMO,2,29,46,0.043478260869565216,0.6304347826086957,0.0005398434454008338,2.9622643509373425,0.5026587247848511,-2.674127235896663,0.31705046274057896,0.004209159793534909,0.02962264350937343,0.6369383927097971,0.21266800103841713
NOR-2019-BAERUM,8,194,253,0.03162055335968379,0.766798418972332,0.0012868908716540837,1.871048308953376,0.5847998857498169,-3.1883862970064127,0.19720524985027152,0.010033889198398142,0.018710483089533762,0.7410226480119122,0.1518020975647298
FIN-2019-KUOPIO,46,882,1345,0.03420074349442379,0.6557620817843867,0.01222778208471351,99.9999999999971,0.5237019062042236,-2.953522945756865,0.2519388470957776,0.09534002710149993,0.9999999999999712,0.6636030251728916,0.443146084697131
DEU-2019-HALLE,11,201,923,0.011917659804983749,0.21776814734561215,0.0019641900556791065,2.3552808757909647,0.6787564754486084,-2.905330321719225,0.26316986998737213,0.015314791500500493,0.02355280875790965,0.8600786919567516,0.23657557884789435
USA-2019-HOLZER,17,73,164,0.10365853658536585,0.4451219512195122,0.0007226035963425142,3.49400489827685,0.5353598594665527,-1.457238696652703,0.6006395661289661,0.0056341408426850235,0.03494004898276851,0.6783752705295639,0.431829491936292
UK-2019-FISHMONGERS,46,833,1208,0.0380794701986755,0.6895695364238411,0.006395228896682358,99.99999999999294,0.5256774425506592,-2.8963674353320137,0.2652586207910409,0.049863605035309795,0.9999999999999296,0.6661063040044229,0.4551758113907888
USA-2020-BASE,,,,0.5,0.5,0.0,0.0,0.0,0.0,0.9402409364100551,0.0,0.0,0.0,0.0
UK-2020-STREATHAM,54,629,1000,0.054,0.629,0.00048670204414858544,19.831432762784928,0.48218774795532227,-2.4551302816129685,0.3680864844527119,0.0037948162436989264,0.1983143276278493,0.610998822906089,0.29929405297167294
DEU-2020-GRUPPES,0,27,28,0.0,0.9642857142857143,0.0,99.99999999504594,0.5287426710128784,-13.779143950829898,-2.2709118951410807,0.0,0.9999999999504596,0.669990374037923,-3.7924010050613206
DEU-2020-HANAU,1,55,117,0.008547008547008548,0.4700854700854701,0.0017374307742425888,0.45013972859599877,0.5996459722518921,-4.007218319346902,0.006381002967718284,0.013546749194226371,0.004501397285959988,0.7598347008191321,0.0049636727571540995
DEU-2020-VOLKMARSEN,0,3,4,0.0,0.75,0.0,0.0,0.0,-13.527829818844937,-2.2123445349761757,0.0,0.0,0.0,-0.0
CAN-2020-NOVASCOTIA,8,332,502,0.01593625498007968,0.6613545816733067,0.00511534894504985,1.2508116362087023,0.6054778099060059,-3.725632191252401,0.07200308339468973,0.039884379986160685,0.012508116362087025,0.7672244488107651,0.05901494725398525
USA-2020-MELZER,0,96,159,0.0,0.6037735849056604,0.0,0.10000000000000042,0.5907861590385437,-13.310956203460506,-2.161803345580408,0.0,0.0010000000000000044,0.7486080873942192,-1.6205052712029542
UK-2020-READING,2,49,56,0.03571428571428571,0.875,0.0006524077372031104,0.6429730141344658,0.615592896938324,-3.1986462607991637,0.19481422237408927,0.005086823670494788,0.00642973014134466,0.7800416684447067,0.15420679953272556
USA-2020-WHITMER,6,937,1028,0.005836575875486381,0.9114785992217899,0.00016595603441672837,99.99999999999943,0.5694960355758667,-5.050753591470775,-0.23680908604374293,0.0012939593386055214,0.9999999999999946,0.7216305450771834,-0.4080041772130704
FRA-2020-PATY,0,15,23,0.0,0.6521739130434783,0.00020848100738022767,2.600364054894912,0.6006135940551758,-13.388068076469493,-2.179773838540103,0.0016255265882295618,0.026003640548949127,0.7610608119870984,-1.7191657832138392
FRA-2020-NICECHURCH,0,3,4,0.0,0.75,0.00010556596553271225,0.0,0.0,-13.527829818844937,-2.2123445349761757,0.0008230979212057656,0.0,0.0,-0.0018209761877298265
AUT-2020-VIENNA,0,1,3,0.0,0.3333333333333333,0.00017980221756068324,0.0,0.0,-12.716901269291665,-2.023362148452316,0.001401918040114219,0.0,0.0,-0.002836587897599566
USA-2021-ATLANTA,123,3374,4143,0.029688631426502535,0.8143857108375573,0.0,0.0,0.4825839698314667,-3.3116374532925534,0.1684822536385689,0.0,0.0,0.6115008910340338,0.10302704822340697
USA-2021-BOULDER,24,209,387,0.06201550387596899,0.5400516795865633,0.0,0.0,0.5078415870666504,-2.1642661484197987,0.4358707523457591,0.0,0.0,0.6435057988019095,0.280485356662647
USA-2021-FEDEX,490,3096,4679,0.10472323145971361,0.661679846120966,0.0,0.0,0.49306729435920715,-1.8434528059747122,0.5106345168196673,0.0,0.0,0.6247847187002346,0.31903664294980605
RUS-2021-KAZAN,,,,0.5,0.5,0.0,0.0,0.0,0.0,0.9402409364100551,0.0,0.0,0.0,0.0
CAN-2021-LONDONON,0,1,5,0.0,0.2,0.0,0.0,0.558811604976654,-12.206077645517674,-1.9043175451185748,0.0,0.0,0.7080918880971524,-1.3484318060595457
JPN-2021-ODAKYU,60,319,580,0.10344827586206896,0.55,0.0,0.0,0.5898963212966919,-1.6708386921229645,0.5508612756400035,0.0,0.0,0.7474805394315132,0.4117580834673213
UK-2021-PLYMOUTH,15,213,413,0.03631961259079903,0.5157384987893463,0.0,0.0,0.5012202262878418,-2.653216370618174,0.3219236235471442,0.0,0.0,0.635115615395044,0.20445872027934697
